date,stock,target,market_cap,price,price_1Y,price_6M,i_revenue,i_inc_lag_days,i_costOfRevenue,i_grossProfit,i_netIncome,i_otherExpenses,i_eps,i_ebitda,i_researchAndDevelopmentExpenses,i_interestIncome,b_cashAndCashEquivalents,b_totalDebt,b_bal_lag_days,b_netDebt,b_totalAssets,b_otherCurrentAssets,b_totalLiabilities,b_totalEquity,b_cashAndShortTermInvestments,b_netReceivables,b_totalCurrentLiabilities,b_totalStockholdersEquity,c_debtRepayment,c_lag_days,c_freeCashFlow,c_dividendsPaid,c_otherFinancingActivites,c_operatingCashFlow,c_capitalExpenditure,e_current_estimated_eps,e_future_estimated_eps,e_current_estim_rev,e_future_estim_rev,price_to_sales,fwd_price_to_sales_diff,est_eps_growth,peRatio,pegRatio,dividend_payout_ratio,est_rev_growth,fcf,fcf_yield,fcf_margin,acid_test,1Y_return,6M_return,div_by_rev_growth,GPRatio,nedDebtToMarketCap,EVGPratio,EVEbitdaRatio,EVRevenue
2021-11-26,FE,0,20774680000,37.91,28.95,38.76,3124000000,57,1006000000.0,2118000000,463000000,136000000.0,0.85,1136000000,0,0.0,577000000,23733000000,57,23156000000,43854000000,346000000.0,36375000000,7479000000,577000000,1364000000,4094000000,7479000000,-525000000,57,215000000.0,-212000000,-11000000,757000000,-542000000.0,0.79195,0.51606,3040250365,2705785466,6.650025608194622,1.027848436532027,-0.3483679525222553,44.6,-1.280255536626916,-0.4578833693304535,-0.1100122880833861,1299000000.0,0.0625280389397093,0.4158130601792573,0.4741084513922813,30.94991364421416,-2.1929824561403546,4.162111136015923,0.0688220230473751,1.1146260736627471,20.74158640226629,38.67137323943662,14.062317541613316
2021-09-21,CF,1,10527951000,48.99,29.86,45.61,1588000000,83,1085000000.0,503000000,246000000,-2000000.0,1.14,689000000,0,0.0,777000000,3946000000,83,3169000000,12007000000,101000000.0,6049000000,5958000000,777000000,401000000,643000000,3246000000,0,83,18000000.0,-65000000,19000000,128000000,-110000000.0,1.55571,0.9599,1632390986,1378538865,6.629692065491184,1.0073439784654008,-0.3829826895758206,42.97368421052632,-1.1220790228958546,-0.2642276422764227,-0.155509386646417,238000000.0,0.0226064881950913,0.1498740554156171,1.83203732503888,64.06563965170798,7.410655557991674,1.6991105680147731,0.0113350125944584,0.3010082398749766,27.23051888667992,19.87946444121916,8.625284005037784
2021-09-21,COP,1,79044528380,59.33,32.46,52.58,9556000000,83,6244000000.0,3312000000,2091000000,420000000.0,1.55,5231000000,0,0.0,6608000000,20010000000,83,13402000000,85403000000,849000000.0,41127000000,44276000000,10661000000,4524000000,8150000000,44276000000,-18000000,83,2986000000.0,-583000000,1000000,4251000000,-1265000000.0,1.10009,1.52006,9905632056,10724238544,8.271717076182503,-0.9010745773522384,0.3817596742084738,38.27741935483871,1.002657481678799,-0.2788139646102343,0.082640510304858,5516000000.0,0.069783451341278,0.5772289660946003,1.86319018404908,82.77880468268637,12.837580829212628,-3.373817073269503,0.3124738384261197,0.169550002696847,27.91259914855073,17.672821330529537,9.6741867287568
2022-01-05,CTVA,0,34343480000,47.24,44.13,42.21,3479000000,5,2232000000.0,1247000000,159000000,335000000.0,0.22,602000000,316000000,19000000.0,4459000000,1117000000,5,-3342000000,42344000000,1010000000.0,16721000000,25623000000,4545000000,4811000000,9558000000,25384000000,-420000000,5,3386000000.0,-102000000,-909000000,3546000000,-160000000.0,0.084284,0.81501,3447384453,4484880841,9.87165277378557,-2.2140401821559585,8.66980684352902,214.72727272727275,0.2476724990563557,-0.6415094339622641,0.3009517511448845,3706000000.0,0.1079098565433671,1.0652486346651338,0.9788658715212388,7.047360072513029,11.9166074389955,-2.13160226355828,1.064098878988215,-0.0973110471041373,24.86085004009623,51.49747508305648,8.911031905720035
2021-07-27,LUV,0,30280800000,51.15,31.4,51.18,4008000000,27,2828000000.0,1180000000,348000000,14000000.0,0.59,925000000,0,2000000.0,14124000000,13300000000,27,-824000000,38206000000,1042000000.0,28518000000,9688000000,16875000000,1328000000,12476000000,9688000000,582000000,27,1910000000.0,0,35000000,2005000000,-95000000.0,-0.22385,-0.2732,3938541000,4583330648,7.555089820359282,-0.9483659495398272,0.2204601295510386,86.69491525423729,3.932453248158261,0.0,0.1637128185284855,2100000000.0,0.0693508758024887,0.5239520958083832,1.4590413594100673,62.898089171974526,-0.0586166471277865,0.0,0.4765469061876247,-0.0272119626958336,24.96338983050848,31.84518918918919,7.349500998003992
2021-07-27,CME,0,75944286960,211.92,163.13,191.97,1179200000,27,211700000.0,967500000,510300000,152500000.0,1.42,771200000,49300000,0.0,1081000000,3444600000,27,2363600000,178699100000,143147500000.0,151911700000,26787400000,1191900000,509600000,142012800000,26763200000,0,27,460100000.0,-322500000,1400000,499800000,-39700000.0,1.60721,1.55151,1172763042,1145372861,64.40322842605156,1.902067906615784,-0.0346563299133281,149.2394366197183,-43.06267772523827,-0.631981187536743,-0.0233552559375417,539500000.0,0.007103891834341,0.4575135685210312,0.0119813143603956,29.90866180346962,10.392248788873257,27.059484564281014,0.4319877883310719,0.0311228150873931,80.93838445478036,101.54030985477178,66.40763819538671
2021-07-27,C,0,136592214000,67.98,50.14,63.12,19384000000,27,8957000000.0,10427000000,6193000000,-3757000000.0,2.86,8330000000,0,12463000000.0,281487000000,296220000000,27,14733000000,2327868000000,0.0,2124958000000,202910000000,281487000000,0,15781000000,202159000000,5908000000,27,-576000000.0,-1307000000,7385000000,365000000,-941000000.0,1.96853,1.7058,17220453026,16982539659,7.046647441188609,0.9964495715489488,-0.1334650729224344,23.76923076923077,-1.780932662663337,-0.2110447279186177,-0.0138157437926162,1306000000.0,0.0095613063274602,0.0673751547668179,17.837082567644636,35.580374950139614,7.699619771863128,15.275668909799036,-0.0297152290548906,0.1078611991749397,14.512823822767814,18.16629219687875,7.806707284358233
2022-08-18,BAX,0,30769200000,61.05,73.77,85.19,3746000000,49,2293000000.0,1453000000,252000000,-11000000.0,0.5,741000000,148000000,4000000.0,1852000000,17156000000,49,15304000000,31831000000,894000000.0,22928000000,8903000000,1852000000,2473000000,3916000000,8859000000,-345000000,49,103000000.0,-141000000,17000000,274000000,-171000000.0,0.87351,0.81515,3878178957,3765792213,8.21388147357181,-0.043170435989662,-0.0668109122963674,122.1,-18.27545767649076,-0.5595238095238095,-0.028979256822882,445000000.0,0.0144625144625144,0.1187933796049119,1.1044433094994892,-17.24278161854412,-28.336659232304264,19.307734941015056,0.0670048051254671,0.4973804973804974,31.70901582931865,62.17705802968961,12.29930592632141
2023-01-12,ORLY,0,50142964000,810.85,648.06,707.01,3644493000,12,1790539000.0,1853954000,528572000,4225000.0,8.45,788463000,0,2136000.0,108583000,6545030000,12,6436447000,12627979000,110376000.0,13688731000,-1060752000,108583000,470174000,7063817000,-1060752000,0,12,620708000.0,0,-149000,795230000,-174522000.0,7.75417,7.9837,3507839758,3584005635,13.75855681434976,0.2322035545300735,0.0296008470281151,95.95857988165682,32.417511495706364,0.0,0.0217130434268827,969752000.0,0.0193397422617458,0.2660869426831112,0.0819326151852461,25.119587692497625,14.687203858502713,0.0,0.170313950390356,0.1283619173369966,30.518238855980247,71.75911995870446,15.524631546829696
2023-01-12,AMD,1,109346666635,70.8,121.89,91.67,5599000000,12,2753000000.0,2846000000,21000000,29000000.0,0.01,333000000,1366000000,13000000.0,4835000000,2863000000,12,-1972000000,67580000000,1265000000.0,12830000000,54750000000,5855000000,4128000000,6369000000,54750000000,0,12,443000000.0,0,88000000,567000000,-124000000.0,0.67068,0.56317,5511663759,5304954153,19.529677913020183,1.082501472764605,-0.160299994035904,7080.0,-441.6718816854242,0.0,-0.0375040305502061,691000000.0,0.0063193513004521,0.1234148955170566,1.5674360182132203,-41.91484125030765,-22.766444856550677,-0.0,0.3230934095374174,-0.0180343860557043,37.72827358924807,322.44644635135137,19.17747216199321
