date,symbol,price,pe_ratio,to_buy
2021-01-04,AAL,15.13,-3.971128608923885,1
2021-01-04,HRB,15.66,-13.271186440677967,1
2021-01-04,MRO,6.83,-15.883720930232558,1
2021-01-04,UAL,41.63,-6.514866979655713,1
2021-01-04,ALK,49.24,-14.190201729106628,1
2021-01-04,AIV,5.06,-19.46153846153846,1
2021-01-04,HBI,14.45,-15.210526315789474,1
2021-01-04,LYV,70.67,-33.813397129186605,1
2021-01-04,RCL,70.72,-11.61247947454844,1
2021-01-04,DAL,38.73,-32.54621848739496,1
2021-01-04,BA,202.72,-13.83754266211604,1
2021-01-04,LUV,45.04,-29.246753246753247,1
2021-01-04,CCL,20.38,-7.101045296167246,1
2022-06-07,NCLH,15.89,-6.761702127659574,0
2022-06-07,ZETA,8.32,-15.407407407407408,0
2022-06-07,CLBT,5.09,18.178571428571427,1
2022-06-07,AAL,16.69,-6.6230158730158735,0
2022-06-07,MSTR,24.0,-20.689655172413797,1
2022-06-07,FSLY,12.62,-23.370370370370367,1
2022-06-07,MGNI,11.18,-32.882352941176464,0
2022-06-07,RCL,56.74,-12.072340425531914,0
2022-06-07,DAL,39.74,-26.851351351351354,0
2022-06-07,ASTS,7.69,-10.534246575342468,1
2022-06-07,CCL,13.78,-8.559006211180124,0
2023-09-27,ZETA,8.01,-23.55882352941176,1
2023-09-27,MGNI,7.37,-13.648148148148149,1
2023-09-27,WDC,44.56,-19.98206278026906,0
2023-09-27,ASTS,3.7,-15.416666666666668,1
2022-08-26,NCLH,13.72,-11.245901639344265,1
2022-08-26,ZETA,6.48,-10.285714285714286,1
2022-08-26,VST,24.93,-7.864353312302839,0
2022-08-26,MSTR,24.92,-2.651063829787234,1
2022-08-26,AIV,9.0,5.69620253164557,0
2022-08-26,CCL,9.97,-6.192546583850931,0
2022-03-31,NCLH,21.88,-9.31063829787234,0
2022-03-31,ZETA,12.75,-23.61111111111111,0
2022-03-31,AAL,18.25,-7.242063492063492,1
2022-03-31,FSLY,17.38,-32.18518518518518,1
2022-03-31,MGNI,13.21,-38.85294117647059,0
2022-03-31,RCL,83.78,-17.825531914893617,0
2022-03-31,DAL,39.57,-26.736486486486488,1
2022-03-31,ASTS,9.98,-13.67123287671233,0
2022-03-31,CCL,20.22,-12.180722891566266,0
2023-06-21,ZETA,8.5,-22.36842105263158,1
2023-06-21,CLBT,6.29,-28.59090909090909,1
2023-06-21,MU,65.8,-38.03468208092485,0
2023-06-21,MSTR,33.13,8.494871794871795,1
2023-06-21,MGNI,13.1,-17.945205479452056,1
2023-06-21,ASTS,6.29,-9.984126984126984,0
2023-06-21,NRG,33.88,-5.841379310344828,1
2021-09-07,NCLH,25.04,-12.90721649484536,1
2021-09-07,ZETA,7.01,-3.7891891891891887,1
2021-09-07,MSTR,64.8,-21.107491856677523,1
2021-09-07,UAL,46.57,-34.75373134328358,1
2021-09-07,RCL,81.45,-15.396975425330814,1
2021-09-07,ASTS,11.73,-30.07692307692308,1
2021-09-07,FTI,6.61,-17.864864864864867,1
2021-09-07,CCL,23.56,-9.424,1
2021-12-14,NCLH,20.34,-8.882096069868995,1
2021-12-14,ZETA,8.52,-16.075471698113205,1
2021-12-14,HRB,23.57,-27.729411764705883,0
2021-12-14,RKLB,12.57,-32.23076923076923,0
2021-12-14,RCL,71.6,-12.808586762075134,1
2021-12-14,CCL,18.15,-7.857142857142857,1
2024-06-27,CLBT,11.86,-32.94444444444444,1
2024-06-27,FSLY,7.45,-23.28125,0
2024-06-27,ALK,40.76,-38.819047619047616,0
2024-06-27,CORZ,9.55,10.494505494505496,1
2024-06-27,IONQ,7.1,-37.368421052631575,1
2023-07-24,ZETA,8.69,-25.55882352941176,0
2023-07-24,MU,65.48,-37.84971098265896,0
2023-07-24,MGNI,14.27,-26.425925925925924,0
2023-07-24,WDC,38.92,-17.45291479820628,1
2023-07-24,S,14.6,-39.45945945945946,1
2023-07-24,ASTS,3.9,-16.25,1
2024-07-16,FSLY,7.97,-24.90625,0
2024-07-16,AIV,9.11,-21.186046511627907,0
2024-07-16,OKLO,8.81,-1.7040618955512574,0
2024-07-16,CORZ,11.7,-2.5942350332594235,1
2024-07-16,ASTS,13.71,-26.88235294117647,1
2019-12-27,DT,25.66,-16.240506329113924,1
2019-12-27,HRB,23.39,-24.621052631578948,0
2021-03-12,NCLH,30.73,-12.243027888446216,0
2021-03-12,AAL,23.37,-6.133858267716535,0
2021-03-12,HRB,21.17,-16.669291338582678,1
2021-03-12,MRO,12.2,-28.37209302325581,0
2021-03-12,UAL,56.29,-8.80907668231612,1
2021-03-12,ALK,68.02,-19.60230547550432,0
2021-03-12,AIV,5.3,-20.384615384615383,1
2021-03-12,HBI,20.48,-21.55789473684211,0
2021-03-12,RCL,90.22,-14.814449917898196,0
2021-03-12,BA,269.19,-18.374744027303752,0
2021-03-12,LUV,61.03,-39.62987012987013,0
2021-03-12,CCL,28.46,-15.811111111111112,0
2021-06-22,NCLH,30.84,-7.413461538461538,0
2021-06-22,AAL,22.11,-11.223350253807109,0
2021-06-22,UAL,55.17,-12.86013986013986,0
2021-06-22,HIMS,10.9,-32.05882352941176,0
2021-06-22,RCL,85.66,-18.38197424892704,0
2021-06-22,DAL,45.37,-24.52432432432432,0
2021-06-22,FTI,9.17,11.182926829268292,0
2021-06-22,CCL,28.06,-15.333333333333332,0
2019-12-05,DT,25.1,-15.886075949367088,1
2019-12-05,HRB,23.36,-24.589473684210528,0
2021-11-23,NCLH,22.56,-9.851528384279476,0
2021-11-23,ZETA,8.28,-15.62264150943396,1
2021-11-23,HRB,25.25,-29.705882352941178,0
2021-11-23,RKLB,14.55,-37.30769230769231,0
2021-11-23,RCL,78.84,-14.103756708407872,0
2021-11-23,CCL,20.15,-8.059999999999999,1
2024-01-03,NEM,40.0,-12.422360248447204,0
2024-01-03,ZETA,7.95,-36.13636363636364,1
2024-01-03,HRB,47.27,-35.54135338345865,0
2024-01-03,ALB,140.18,-26.650190114068444,0
2024-01-03,LEG,25.35,-11.628440366972477,0
2024-01-03,GTLB,58.35,-31.71195652173913,1
2024-01-03,AIV,7.64,-7.14018691588785,0
2024-01-03,ASTS,4.93,-14.085714285714284,0
2022-01-06,NCLH,21.34,-5.321695760598504,1
2022-01-06,ZETA,8.03,-17.085106382978722,1
2022-01-06,HRB,23.75,-21.59090909090909,1
2022-01-06,HIMS,5.73,-38.2,0
2022-01-06,TMDX,18.38,-39.95652173913043,1
2022-01-06,RCL,77.92,-14.619136960600375,1
2022-01-06,IONQ,14.84,-38.05128205128205,1
2022-01-06,BA,211.34,-30.105413105413103,0
2022-01-06,FTI,6.67,-19.057142857142857,1
2022-01-06,NRG,40.64,-23.222857142857144,0
2022-01-06,CCL,21.07,-9.12121212121212,1
2021-12-31,NCLH,20.74,-5.172069825436409,1
2021-12-31,ZETA,8.42,-17.914893617021278,1
2021-12-31,HRB,23.56,-21.41818181818181,1
2021-12-31,RCL,76.9,-14.427767354596623,1
2021-12-31,BA,201.32,-28.67806267806268,1
2021-12-31,FTI,5.92,-16.914285714285715,1
2021-12-31,NRG,43.08,-24.617142857142856,0
2021-12-31,CCL,20.12,-8.70995670995671,1
2023-11-08,LNC,22.58,4.674948240165631,1
2023-11-08,ZETA,8.41,-31.148148148148145,1
2023-11-08,HRB,41.75,-37.27678571428571,1
2023-11-08,GTLB,44.74,-24.315217391304348,1
2023-11-08,WDC,43.255,-20.40330188679245,1
2023-11-08,ASTS,4.09,-7.303571428571428,1
2023-05-26,ZETA,8.81,-23.18421052631579,0
2023-05-26,CLBT,5.8,-26.363636363636363,1
2023-05-26,MU,73.93,-34.70892018779343,0
2023-05-26,MSTR,28.51,7.310256410256411,1
2023-05-26,MGNI,11.78,-16.136986301369863,1
2023-05-26,ASTS,5.47,-8.682539682539682,1
2023-05-26,NRG,33.94,-5.8517241379310345,1
2023-04-21,ZETA,10.38,-27.31578947368421,0
2023-04-21,CLBT,5.78,-26.272727272727277,1
2023-04-21,MU,61.13,-28.699530516431928,1
2023-04-21,MSTR,29.1,7.461538461538462,1
2023-04-21,MGNI,9.42,-12.904109589041097,1
2023-04-21,ASTS,4.29,-6.809523809523809,1
2022-09-02,NCLH,13.05,-10.696721311475413,1
2022-09-02,ZETA,6.39,-10.142857142857142,1
2022-09-02,VST,24.96,-7.873817034700316,0
2022-09-02,MSTR,21.81,-2.3202127659574465,1
2022-09-02,MGNI,7.24,-38.10526315789474,1
2022-09-02,AIV,8.76,5.544303797468354,0
2024-01-17,NEM,34.73,-10.785714285714285,0
2024-01-17,HRB,45.57,-34.26315789473684,1
2024-01-17,ALB,120.7,-22.946768060836504,1
2024-01-17,LEG,23.4,-10.73394495412844,0
2024-01-17,GTLB,63.46,-34.48913043478261,1
2024-01-17,ASTS,4.28,-12.22857142857143,0
2023-07-05,ZETA,8.12,-23.882352941176467,1
2023-07-05,MU,62.06,-35.872832369942195,1
2023-07-05,MGNI,13.49,-24.98148148148148,1
2023-07-05,WDC,37.66,-16.887892376681613,1
2023-07-05,ASTS,4.37,-18.208333333333336,0
2024-09-06,LEG,11.62,-2.646924829157175,1
2024-09-06,FSLY,5.65,-17.65625,1
2024-09-06,AIV,8.79,-20.44186046511628,0
2024-09-06,OKLO,5.59,-1.081237911025145,1
2024-09-06,CORZ,9.32,-2.066518847006652,1
2024-09-06,IONQ,6.8,-37.77777777777778,1
2021-04-01,NCLH,27.72,-6.663461538461538,1
2021-04-01,AAL,23.86,-12.111675126903553,0
2021-04-01,HRB,22.29,-17.551181102362204,1
2021-04-01,VST,17.72,-4.209026128266033,0
2021-04-01,UAL,57.82,-13.477855477855478,0
2021-04-01,HIMS,13.6,-39.99999999999999,1
2021-04-01,HBI,19.37,-20.38947368421053,1
2021-04-01,RCL,86.67,-18.59871244635193,1
2021-04-01,DAL,48.83,-26.394594594594597,0
2021-04-01,FTI,7.98,9.731707317073171,1
2021-04-01,CCL,26.86,-14.92222222222222,1
2022-06-28,NCLH,12.76,-5.429787234042553,1
2022-06-28,ZETA,4.77,-8.833333333333332,1
2022-06-28,CLBT,5.02,17.928571428571427,1
2022-06-28,AAL,13.5,-5.357142857142857,1
2022-06-28,MSTR,18.61,-16.04310344827586,1
2022-06-28,FSLY,12.22,-22.62962962962963,1
2022-06-28,ALK,40.78,-35.771929824561404,1
2022-06-28,MGNI,9.53,-28.02941176470588,0
