date,symbol,price,pe_ratio,to_buy,sma_10d,sma_100d,sma_50d,std_10d,sma_10d_1weeks_ago,sma_10d_1months_ago,sma_10d_2months_ago,sma_10d_3months_ago,sma_10d_4months_ago,sma_10d_5months_ago,sma_10d_6months_ago,sma_10d_7months_ago,sma_10d_11months_ago,month,RnD_expenses,revenues,GP,netIncome,dividendsPaid,sector,ebitda,income_lag_days,marketCap,total_debt,balance_lag_days,other_expenses,cashcasheq,netDebt,curr_est_eps,curr_est_rev,future_est_rev,EV,max_in_4M,max4M_lag,min_in_4M,min4M_lag,max_minus_min,var_price_to_minmax,maxPercen_4M,max_in_1M,max1M_lag,min_in_1M,min1M_lag,max_minus_min1M,var_price_to_minmax1M,maxPercen_1M,max_in_2W,max2W_lag,min_in_2W,min2W_lag,max_minus_min2W,var_price_to_minmax2W,maxPercen_2W,max_in_8M,max8M_lag,dist_max8M_4M,min_in_8M,min8M_lag,dist_min8M_4M,max_minus_min8M,var_price_minmax8M,maxPercen_8M,ebitdaMargin,Spread1Mby8M,Spread4Mby8M,Spread1Mby4M,debtToPrice,markRevRatio,eps_growth,pe,peg,PS_to_PEG,netDebtToPrice,dividend_payout_ratio,EVEbitdaRatio,EVGP,EVRevenues,fwdPriceTosale,fwdPriceTosale_diff,var_sma50D,var_sma100D,var_sma10D,var_sma10D_50D,var_sma50D_100D,var_sma10D_100D,relative_std,deriv_1w,deriv_1m,deriv_2m,deriv_3m,deriv_4m,deriv_5m,deriv_6m,deriv_max4M,deriv_min4M,deriv_max8M,deriv_min8M,deriv_1w1m_growth,deriv_1m2m_growth,deriv_3m4m_growth,1W_return,price_to_SMA10d_1W,price_to_SMA10d_5M,1M_return,2M_return,3M_return,4M_return,5M_return,6M_return,7M_return,1y_return,1M_1W_growth,2M_1W_growth,1M1W_2M1W_growth,2M_1M_growth,3M_2M_growth,4M_3M_growth,1Y_6M_growth,price_to_sma_10d_ratio,price_to_sma_50d_ratio,price_to_sma_100d_ratio,sma_10d_to_sma_50d_ratio,sma_10d_to_sma_100d_ratio,sma_50d_to_sma_100d_ratio,smas_above_count,price_above_all_sma,price_below_all_sma,combined_valuation_score,market_cap_quintile,return_to_pe,sma10_yoy_growth
2022-11-28,ZETA,8.47,-17.29,1,8.53,6.92,7.59,0.21,8.49,7.65,6.48,6.74,5.09,5.21,7.8,11.43,8.2,11,16954000,152252000,94723000,-69440000,0,technology,-53139000,59,1574535882.0,183868000,59,13367000,114808000,69060000,0.04,141049509.0,160389127.0,1643595882.0,8.93,14,5.35,122,3.58,0.87,0.05,8.93,14,7.9,19,1.03,0.55,0.05,8.76,12,8.21,7,0.55,0.47,0.03,13.31,235,221,4.27,150,28,9.04,0.46,0.57,-0.35,0.11,0.4,0.29,0.12,10.34,-10.51,209.68,-19.94,-1.93,0.04,-0.0,-30.93,17.35,10.8,9.82,-0.52,0.12,0.22,-0.01,0.12,0.1,0.23,0.02,-0.08,0.82,1.0,0.58,0.85,0.65,0.11,-0.03,0.03,-0.02,0.03,-1.1,-0.18,-0.32,-0.0,1.0,1.63,0.11,0.31,0.26,0.66,0.63,0.09,-0.26,0.03,0.11,0.31,-0.65,0.18,-0.04,0.32,-0.05,-0.01,0.12,0.22,0.12,0.23,0.1,2,0,0,44.04,2,0.0,4.02
2022-11-28,FSLY,8.72,-16.77,1,9.07,9.75,8.66,0.71,9.25,8.33,8.86,10.46,11.61,11.67,11.79,17.78,39.05,11,38957000,108504000,52679000,-63420000,0,technology,-43721000,59,1077678640.0,836545000,59,1877000,87897000,748648000,-0.17,103469017.0,114985170.0,1826326640.0,13.21,117,7.44,45,5.77,0.22,0.51,10.7,13,7.9,26,2.8,0.29,0.23,10.7,13,8.36,6,2.34,0.15,0.23,19.69,223,106,7.44,45,0,12.25,0.1,1.26,-0.4,0.23,0.47,0.49,0.78,9.93,-0.25,-51.61,209.82,21.13,0.69,-0.0,-41.77,34.67,16.83,9.37,-0.56,0.01,-0.11,-0.04,0.05,-0.11,-0.07,0.08,-2.12,0.39,-0.07,-0.58,-0.72,-0.59,-0.51,-0.04,0.03,-0.05,0.03,-6.44,-6.57,-0.2,-0.06,0.94,0.75,0.05,-0.02,-0.17,-0.25,-0.25,-0.26,-0.51,-0.78,0.11,0.04,1.51,-0.06,-0.15,-0.1,-0.7,-0.04,0.01,-0.11,0.05,-0.07,-0.11,1,0,0,37.78,1,0.0,-76.77
2022-11-28,ASTS,6.35,-10.58,0,6.82,8.15,7.07,0.49,7.22,6.54,7.94,12.38,6.49,6.45,7.47,7.9,8.33,11,28035000,4168000,1643000,-32052000,0,technology,-39308000,59,829798492.0,12818000,59,1172000,198869000,-186051000,-1.03,4559854.0,3675000.0,643747492.0,13.93,104,5.91,32,8.02,0.05,1.19,8.83,17,6.21,25,2.62,0.05,0.39,7.5,13,6.35,0,1.16,0.0,0.18,13.93,104,0,5.91,32,0,8.02,0.05,1.19,-9.43,0.33,1.0,0.33,0.02,199.09,-0.8,-6.17,7.75,0.04,-0.22,-0.0,-16.38,391.81,154.45,225.8,26.71,-0.1,-0.22,-0.07,-0.04,-0.13,-0.16,0.08,-3.48,-0.19,-0.8,-2.01,-0.04,-0.02,-0.19,-0.07,0.01,-0.07,0.01,17.32,-0.76,56.43,-0.12,0.88,0.98,-0.03,-0.2,-0.49,-0.02,-0.02,-0.15,-0.2,-0.24,0.1,-0.09,-2.15,-0.18,-0.36,0.91,-0.1,-0.07,-0.1,-0.22,-0.04,-0.16,-0.13,0,0,1,94.25,1,0.08,-18.13
2021-09-14,NCLH,24.77,-12.77,1,25.02,27.71,25.05,0.42,25.48,24.61,27.58,32.53,28.43,29.64,30.55,23.86,17.49,9,0,4368000,-245359000,-717789000,-61438000,consumer cyclical,-373963000,76,9149594517.0,12285867000,76,25501000,2750140000,9535727000,-1.97,10023511.0,233389303.0,18685321517.0,33.71,98,21.87,57,11.84,0.24,0.36,26.16,18,23.06,26,3.1,0.55,0.06,25.48,12,24.42,6,1.06,0.33,0.03,33.71,98,0,21.87,57,0,11.84,0.24,0.36,-85.61,0.26,1.0,0.26,1.34,2094.69,0.03,-12.58,-392.18,-0.19,1.04,0.09,-49.97,-76.16,4277.78,39.2,-2055.48,-0.01,-0.11,-0.01,-0.0,-0.1,-0.1,0.02,-2.84,0.16,-1.4,-2.59,-0.92,-0.97,-0.96,-0.09,0.05,-0.09,0.05,-18.75,-1.11,1.83,-0.03,0.97,0.84,0.01,-0.1,-0.24,-0.13,-0.16,-0.19,0.04,0.42,0.04,-0.08,-1.46,-0.11,-0.15,0.14,0.75,-0.01,-0.01,-0.11,-0.0,-0.1,-0.1,0,0,1,-132.72,4,0.02,43.05
2021-09-14,MSTR,61.85,-20.15,1,66.09,60.67,65.15,3.46,69.99,71.13,62.01,50.15,58.03,71.67,72.13,89.68,15.72,9,28548000,125351000,102313000,-299347000,0,technology,-411929000,76,6184381500.0,2231827000,76,-897000,56399000,2175428000,0.08,120437140.0,127477500.0,8359809500.0,76.77,36,45.05,116,31.72,0.53,0.24,72.67,20,61.56,4,11.11,0.03,0.17,71.23,11,61.56,4,9.67,0.03,0.15,127.29,217,181,45.05,116,0,82.24,0.2,1.06,-3.29,0.14,0.39,0.35,0.36,49.34,-0.3,761.96,-2558.75,-51.86,0.35,-0.0,-20.29,81.71,66.69,48.51,-0.82,-0.05,0.02,-0.06,0.01,0.07,0.09,0.06,-32.56,-9.28,-0.08,3.9,0.96,-1.96,-1.71,-0.41,0.14,-0.3,0.14,2.51,115.0,3.08,-0.12,0.88,0.86,-0.13,-0.0,0.23,0.07,-0.14,-0.14,-0.31,2.93,-0.02,0.13,-1.12,0.15,0.24,-0.14,3.59,-0.06,-0.05,0.02,0.01,0.09,0.07,1,0,0,-433.84,3,0.0,320.42
2021-09-14,UAL,43.87,-32.74,1,45.74,51.07,47.02,0.99,46.76,46.88,50.79,57.54,53.38,58.13,53.54,42.62,36.0,9,0,5471000000,-122000000,-434000000,0,industrials,460000000,76,14200719000.0,40081000000,76,-49000000,20838000000,19243000000,-3.96,5350921492.0,7639213178.0,33443719000.0,60.29,104,43.46,57,16.83,0.02,0.37,47.71,18,43.87,0,3.84,0.0,0.09,46.76,12,43.87,0,2.89,0.0,0.07,62.45,181,77,39.94,225,168,22.52,0.17,0.42,0.08,0.17,0.75,0.23,2.82,2.6,-0.6,-11.07,18.44,7.11,1.36,-0.0,72.7,-274.13,6.11,1.86,-0.74,-0.07,-0.14,-0.04,-0.03,-0.08,-0.1,0.02,-11.56,-3.01,-3.46,-4.56,-2.38,-2.85,-1.61,-0.16,0.01,-0.1,0.02,2.84,-0.13,0.92,-0.06,0.94,0.75,-0.06,-0.14,-0.24,-0.18,-0.25,-0.18,0.03,0.22,-0.0,-0.08,-0.97,-0.08,-0.12,0.08,0.49,-0.04,-0.07,-0.14,-0.03,-0.1,-0.08,0,0,1,-48.51,4,0.02,27.06
2021-09-14,RCL,82.42,-15.58,1,81.85,83.23,79.23,1.22,82.1,77.88,81.87,93.29,82.59,88.3,90.06,69.03,66.1,9,0,50914000,-373916000,-1347255000,0,consumer cyclical,-731923000,76,20993445460.0,21667809000,76,24508000,4250369000,17417440000,-4.35,152381697.0,567028131.0,38410885460.0,96.98,104,69.51,57,27.47,0.47,0.18,83.84,1,76.02,28,7.82,0.82,0.02,83.84,1,79.43,11,4.41,0.68,0.02,96.98,104,0,65.0,228,171,31.98,0.54,0.18,-14.38,0.24,0.86,0.28,1.03,412.33,0.01,-18.96,-1751.01,-4.25,0.83,-0.0,-52.48,-102.73,754.43,37.02,-375.31,0.04,-0.01,0.01,0.03,-0.05,-0.02,0.01,1.28,4.54,0.27,-3.62,-0.04,-1.18,-1.27,-0.14,0.23,-0.14,0.08,-0.72,15.51,84.25,0.0,1.0,0.93,0.06,0.01,-0.12,-0.0,-0.07,-0.08,0.19,0.25,0.05,0.0,18.29,-0.05,-0.12,0.13,0.36,0.01,0.04,-0.01,0.03,-0.02,-0.05,2,0,0,-481.29,5,0.01,23.83
2021-09-14,FTI,6.86,-18.54,1,6.62,7.95,7.12,0.19,6.65,7.03,8.69,10.1,8.13,7.64,8.8,8.7,5.53,9,19200000,1668800000,32500000,-167000000,0,energy,129500000,76,3091802000.0,2477900000,76,11800000,854900000,1623000000,-0.01,1611978214.0,1697517818.0,4714802000.0,10.6,98,6.1,26,4.5,0.17,0.55,6.86,1,6.1,26,0.76,1.0,0.0,6.86,1,6.29,6,0.57,1.0,0.0,10.6,98,0,6.1,26,0,4.5,0.17,0.55,0.08,0.17,1.0,0.17,0.8,1.85,-2.31,-569.77,246.17,132.87,0.52,-0.0,36.41,145.07,2.83,1.82,-0.03,-0.04,-0.14,0.04,-0.07,-0.1,-0.17,0.03,0.84,-0.17,-0.91,-1.08,-0.32,-0.16,-0.32,-0.04,0.03,-0.04,0.03,-5.94,-0.81,2.4,0.03,1.03,0.9,-0.02,-0.21,-0.32,-0.16,-0.1,-0.22,-0.21,0.24,-0.05,-0.23,-0.77,-0.19,-0.14,0.24,0.59,0.04,-0.04,-0.14,-0.07,-0.17,-0.1,1,0,0,-35.53,2,0.0,19.71
2021-04-14,NCLH,29.21,-7.02,1,29.64,26.26,28.11,1.22,27.9,30.55,23.86,24.65,25.93,18.32,17.49,17.68,11.89,4,0,3100000,-197755000,-1370192000,-1162761000,consumer cyclical,-387556000,14,10805747574.0,12218735000,14,27243000,3508033000,8710702000,-2.02,11187381.0,10023511.0,19516449574.0,33.13,42,22.4,72,10.73,0.63,0.13,31.56,30,25.31,21,6.25,0.62,0.08,31.31,7,27.72,13,3.59,0.42,0.07,33.13,42,0,14.63,202,130,18.5,0.79,0.13,-125.02,0.34,0.58,0.58,1.13,3485.73,-0.03,-14.43,529.84,0.15,0.81,0.85,-50.36,-98.69,6295.63,1078.04,-2407.68,0.04,0.11,-0.01,0.05,0.07,0.13,0.04,5.24,-1.34,2.68,1.52,0.82,2.18,1.95,-0.09,0.09,-0.09,0.07,-4.91,-1.5,0.85,0.05,1.05,1.59,-0.04,0.22,0.18,0.13,0.59,0.67,0.65,1.46,-0.09,0.17,-1.51,0.28,-0.03,-0.05,0.47,-0.01,0.04,0.11,0.05,0.13,0.07,2,0,0,91.59,4,-0.01,149.29
2021-04-14,AAL,22.37,-11.36,1,23.5,18.58,21.39,0.62,23.45,21.68,17.25,15.47,16.54,11.81,12.82,13.22,9.69,4,0,4008000000,-2156000000,-1250000000,0,industrials,-1466000000,14,14409031510.0,46324000000,14,109000000,277000000,46047000000,-4.3,4043173416.0,7320468778.0,60456031510.0,25.17,30,15.0,93,10.17,0.72,0.13,25.17,30,21.81,21,3.36,0.17,0.13,24.23,9,22.37,0,1.86,0.0,0.08,25.17,30,0,10.95,168,75,14.22,0.8,0.13,-0.37,0.24,0.72,0.33,3.21,3.6,-0.53,-5.2,9.82,2.73,3.2,-0.0,-41.24,-28.04,15.08,1.97,-1.63,0.05,0.2,-0.05,0.1,0.15,0.26,0.03,-4.32,0.69,2.56,2.3,1.46,2.11,1.59,-0.09,0.08,-0.09,0.07,-7.26,-0.73,0.58,-0.05,0.95,1.89,0.03,0.3,0.45,0.35,0.89,0.74,0.69,1.31,0.08,0.36,-0.77,0.26,0.12,-0.06,0.32,-0.05,0.05,0.2,0.1,0.26,0.15,2,0,0,-16.16,4,-0.09,142.52
