date,symbol,price,evebitda,future_eps,to_buy,sma_10d,sma_100d,sma_200d,sma_50d,std_10d,sma_10d_1weeks_ago,sma_10d_1months_ago,sma_10d_2months_ago,sma_10d_3months_ago,sma_10d_4months_ago,sma_10d_5months_ago,sma_10d_6months_ago,sma_10d_7months_ago,sma_10d_11months_ago,RnD_expenses,revenues,GP,netIncome,dividendsPaid,sector,ebitda,income_lag_days,marketCap,total_debt,balance_lag_days,cashcasheq,netDebt,curr_est_eps,curr_est_rev,future_est_rev,EV,max_in_4M,max4M_lag,min_in_4M,min4M_lag,max_minus_min,var_price_to_minmax,maxPercen_4M,max_in_1M,max1M_lag,min_in_1M,min1M_lag,max_minus_min1M,var_price_to_minmax1M,maxPercen_1M,max_in_2W,max2W_lag,min_in_2W,min2W_lag,max_minus_min2W,var_price_to_minmax2W,maxPercen_2W,max_in_8M,max8M_lag,dist_max8M_4M,min_in_8M,min8M_lag,dist_min8M_4M,max_minus_min8M,var_price_minmax8M,maxPercen_8M,Spread1Mby8M,Spread4Mby8M,Spread1Mby4M,debtToPrice,markRevRatio,eps_growth,pe,peg,PS_to_PEG,netDebtToPrice,dividend_payout_ratio,EVGP,EVRevenues,fwdPriceTosale,fwdPriceTosale_diff,var_sma50D,var_sma100D,var_sma10D,var_sma10D_50D,var_sma50D_100D,var_sma50D_200D,var_sma10D_100D,var_sma10D_200D,relative_std,deriv_1w,deriv_1m,deriv_2m,deriv_3m,deriv_4m,deriv_5m,deriv_6m,deriv_max4M,deriv_min4M,deriv_max8M,deriv_min8M,deriv_1w1m_growth,deriv_1m2m_growth,deriv_3m4m_growth,1W_return,price_to_SMA10d_1W,price_to_SMA10d_5M,1M_return,2M_return,3M_return,4M_return,5M_return,6M_return,7M_return,1y_return,1M_1W_growth,2M_1W_growth,1M1W_2M1W_growth,2M_1M_growth,3M_2M_growth,4M_3M_growth,1Y_6M_growth,price_to_sma_10d_ratio,price_to_sma_50d_ratio,price_to_sma_100d_ratio,price_to_sma_200d_ratio,sma_10d_to_sma_50d_ratio,sma_10d_to_sma_100d_ratio,sma_10d_to_sma_200d_ratio,sma_50d_to_sma_100d_ratio,sma_50d_to_sma_200d_ratio,sma_100d_to_sma_200d_ratio,golden_cross,death_cross,smas_above_count,price_above_all_sma,price_below_all_sma,combined_valuation_score,market_cap_quintile,return_to_pe,sma10_yoy_growth
2021-12-30,ASTS,8.14,-24.63,-0.21,0,8.25,10.53,10.29,10.28,0.25,8.42,11.24,10.69,11.61,9.59,11.29,10.41,7.44,14.84,12914000,2450000,347000,4115000,0.0,technology,-21898000,91,892903821,6928000,91,360390000,-353462000,-1.03,4559854,3675000,539441821,12.95,104,7.77,1,5.18,0.07,0.59,9.49,29,7.77,1,1.72,0.22,0.17,8.71,7,7.77,1,0.94,0.39,0.07,13.53,177,73,7.08,212,211,6.45,0.16,0.66,0.27,0.8,0.33,0.01,364.45,-0.8,-7.9,9.93,0.03,-0.4,0.0,1554.59,220.18,242.97,-121.48,-0.21,-0.23,-0.01,-0.2,-0.02,-0.0,-0.22,-0.2,0.03,-1.12,-3.1,-1.27,-1.16,-0.36,-0.63,-0.38,-0.05,0.37,-0.03,0.01,-0.64,1.43,2.19,-0.03,0.97,0.72,-0.28,-0.24,-0.3,-0.15,-0.28,-0.22,0.09,-0.45,-0.25,-0.21,0.18,0.05,-0.08,0.21,-0.3,-0.01,-0.21,-0.23,-0.21,-0.2,-0.22,-0.2,-0.02,-0.0,0.02,0,1,0,0,1,518.87,1,0.04,-44.41
2021-12-22,ASTS,8.46,-26.24,-0.21,0,8.45,10.65,10.41,10.51,0.25,8.88,12.19,10.44,11.68,9.26,11.75,10.26,7.52,14.46,12914000,2450000,347000,4115000,0.0,technology,-21898000,83,928005691,6928000,83,360390000,-353462000,-1.03,4559854,3675000,574543691,12.95,96,8.1,2,4.85,0.07,0.53,10.89,28,8.1,2,2.79,0.13,0.29,9.03,13,8.1,2,0.93,0.39,0.07,13.53,169,73,7.08,204,202,6.45,0.21,0.6,0.43,0.75,0.58,0.01,378.78,-0.8,-8.21,10.32,0.03,-0.38,0.0,1655.75,234.51,252.52,-126.26,-0.2,-0.21,0.0,-0.2,-0.01,0.01,-0.21,-0.19,0.03,-1.68,-3.73,-0.99,-1.07,-0.2,-0.66,-0.3,-0.05,0.18,-0.03,0.01,-0.55,2.77,4.37,-0.05,0.95,0.72,-0.31,-0.19,-0.28,-0.09,-0.28,-0.18,0.13,-0.41,-0.27,-0.15,0.82,0.17,-0.11,0.26,-0.29,0.0,-0.2,-0.21,-0.19,-0.2,-0.21,-0.19,-0.01,0.01,0.02,1,0,1,0,0,552.62,1,0.03,-41.56
2022-01-04,ASTS,7.94,-20.38,-0.21,0,8.19,10.46,10.21,10.13,0.27,8.33,10.42,11.34,11.26,11.19,11.21,10.87,7.52,14.58,18791000,6220000,2779000,-3110000,0.0,technology,-27617000,4,871479970,13159000,4,321787000,-308628000,-1.03,4559854,3675000,562851970,12.95,109,7.77,6,5.18,0.03,0.63,9.49,27,7.77,6,1.72,0.1,0.2,8.71,12,7.77,6,0.94,0.18,0.1,13.53,182,73,7.08,217,211,6.45,0.13,0.7,0.27,0.8,0.33,0.02,140.11,-0.8,-7.71,9.69,0.07,-0.35,-0.0,202.54,90.49,237.14,97.03,-0.22,-0.24,-0.03,-0.19,-0.03,-0.01,-0.22,-0.2,0.03,-1.56,-2.48,-1.7,-1.11,-0.81,-0.65,-0.49,-0.05,0.03,-0.03,0.0,-0.37,0.46,0.36,-0.05,0.95,0.71,-0.24,-0.3,-0.29,-0.29,-0.29,-0.27,0.06,-0.46,-0.2,-0.27,-0.24,-0.08,0.01,0.01,-0.25,-0.03,-0.22,-0.24,-0.22,-0.19,-0.22,-0.2,-0.03,-0.01,0.02,0,1,0,0,1,68.17,1,0.04,-43.83
2022-08-24,MSTR,27.44,-6.03,-0.02,0,31.22,28.21,40.1,24.81,3.35,33.2,23.61,17.56,19.79,44.49,43.05,40.64,46.25,61.27,31790000,122073000,96869000,-1062298000,0.0,technology,-908931000,55,3102915200,2447025000,55,69386000,2377639000,-0.03,123317099,127185000,5480554200,42.8,121,15.22,72,27.58,0.44,0.56,35.28,12,23.76,29,11.52,0.32,0.29,35.28,12,26.58,1,8.7,0.1,0.29,60.83,240,119,15.22,72,0,45.61,0.27,1.22,0.25,0.6,0.42,0.79,25.42,-0.42,-1055.38,2494.55,98.14,0.77,-0.0,56.58,44.9,24.4,-1.02,0.11,-0.03,-0.12,0.26,-0.12,-0.38,0.11,-0.22,0.12,-23.04,3.83,4.94,2.55,-4.26,-3.12,-2.2,-0.13,0.17,-0.14,0.17,-7.02,-0.22,-1.6,-0.17,0.83,0.64,0.16,0.56,0.39,-0.38,-0.36,-0.32,-0.41,-0.55,0.41,0.89,-0.54,0.34,-0.11,-0.56,-0.34,-0.12,0.11,-0.03,-0.32,0.26,0.11,-0.22,-0.12,-0.38,-0.3,0,1,1,0,0,498.58,1,-0.0,-49.05
2023-04-17,HOOD,9.88,-15.43,-0.01,0,9.92,9.4,9.66,9.69,0.11,9.48,9.3,10.3,8.67,9.25,10.07,10.59,10.33,9.8,199000000,441000000,393000000,-511000000,0.0,technology,-483000000,17,8941250446,3969000000,17,5459000000,-1490000000,-0.62,424756137,472936191,7451250446,11.14,74,7.7,111,3.44,0.63,0.13,10.07,4,8.57,25,1.5,0.87,0.02,10.07,4,9.75,12,0.32,0.41,0.02,12.33,165,91,7.7,111,0,4.63,0.47,0.25,0.32,0.74,0.44,0.44,20.27,-0.98,-16.03,16.38,0.81,-0.17,-0.0,18.96,16.9,18.91,-1.37,0.02,0.05,-0.0,0.02,0.03,0.0,0.06,0.03,0.01,1.6,0.58,-0.21,0.4,0.16,-0.04,-0.12,-0.02,0.02,-0.01,0.02,1.76,-3.76,1.56,0.04,1.04,0.98,0.06,-0.04,0.14,0.07,-0.02,-0.07,-0.04,0.01,0.02,-0.08,-1.24,-0.1,0.19,-0.06,0.08,-0.0,0.02,0.05,0.02,0.02,0.06,0.03,0.03,0.0,-0.03,1,0,3,0,0,6.44,3,-0.01,1.22
2022-08-25,MSTR,27.28,-6.01,-0.02,0,30.58,27.99,39.81,25.04,3.43,33.36,24.26,17.56,20.09,44.24,43.87,40.38,45.08,61.27,31790000,122073000,96869000,-1062298000,0.0,technology,-908931000,56,3084822400,2447025000,56,69386000,2377639000,-0.03,123317099,127185000,5462461400,40.05,119,15.22,73,24.83,0.49,0.47,35.28,13,23.76,30,11.52,0.31,0.29,35.28,13,26.58,2,8.7,0.08,0.29,60.83,241,122,15.22,73,0,45.61,0.26,1.23,0.25,0.54,0.46,0.79,25.27,-0.42,-1049.23,2480.0,98.14,0.77,-0.0,56.39,44.75,24.25,-1.02,0.09,-0.03,-0.11,0.22,-0.11,-0.37,0.09,-0.23,0.13,-24.32,3.02,4.86,2.4,-4.24,-3.32,-2.18,-0.11,0.17,-0.14,0.17,-9.05,-0.38,-1.57,-0.18,0.82,0.62,0.12,0.55,0.36,-0.38,-0.38,-0.32,-0.39,-0.55,0.38,0.9,-0.58,0.38,-0.13,-0.55,-0.34,-0.11,0.09,-0.03,-0.31,0.22,0.09,-0.23,-0.11,-0.37,-0.3,0,1,1,0,0,495.72,1,-0.0,-50.09
2022-01-11,ASTS,7.25,-17.64,-0.21,0,7.64,10.39,10.09,9.76,0.39,8.19,9.34,12.02,10.54,11.98,10.71,12.13,8.87,17.32,18791000,6220000,2779000,-3110000,0.0,technology,-27617000,11,795746824,13159000,11,321787000,-308628000,-1.03,4559854,3675000,487118824,12.95,116,7.05,1,5.9,0.03,0.79,8.71,19,7.05,1,1.66,0.12,0.2,8.22,8,7.05,1,1.17,0.17,0.13,13.53,189,73,7.05,1,0,6.48,0.03,0.87,0.26,0.91,0.28,0.02,127.93,-0.8,-7.04,8.85,0.07,-0.39,-0.0,175.29,78.31,216.53,88.6,-0.26,-0.3,-0.05,-0.22,-0.06,-0.03,-0.26,-0.24,0.05,-3.76,-2.09,-2.38,-1.1,-1.18,-0.69,-0.81,-0.05,0.2,-0.03,0.2,0.8,-0.12,-0.07,-0.11,0.89,0.68,-0.22,-0.4,-0.31,-0.39,-0.32,-0.4,-0.18,-0.58,-0.12,-0.32,-0.61,-0.22,0.14,-0.12,-0.3,-0.05,-0.26,-0.3,-0.28,-0.22,-0.26,-0.24,-0.06,-0.03,0.03,0,1,0,0,1,59.03,1,0.04,-55.89
2022-04-01,ASTS,10.59,-29.59,-0.21,0,10.33,8.29,9.67,7.5,0.35,9.65,6.71,5.6,8.22,10.95,10.83,11.37,10.37,8.69,20021000,2394000,408000,-37903000,0.0,technology,-31232000,1,1164767511,13152000,1,253731000,-240579000,-1.03,4559854,3675000,924188511,10.96,3,5.13,64,5.83,0.94,0.03,10.96,3,6.3,25,4.66,0.92,0.03,10.96,3,9.8,9,1.16,0.68,0.03,12.95,196,193,5.13,64,0,7.82,0.7,0.22,0.6,0.75,0.8,0.01,486.54,-0.8,-10.28,12.92,0.03,-0.21,-0.0,2265.17,386.04,316.94,-169.59,0.41,0.28,0.03,0.38,-0.1,-0.22,0.25,0.07,0.03,3.76,3.88,2.5,0.79,-0.09,-0.05,-0.13,-0.12,0.09,-0.01,0.09,-0.03,0.56,-9.78,0.1,1.1,0.98,0.58,0.89,0.29,-0.03,-0.02,-0.07,0.02,0.22,0.44,0.72,-0.39,0.2,-0.32,-0.25,0.31,0.03,0.41,0.28,0.1,0.38,0.25,0.07,-0.1,-0.22,-0.14,0,1,4,1,0,755.94,1,-0.03,18.87
2022-11-16,ASTS,6.7,-17.54,-0.21,0,7.27,8.13,8.0,7.53,0.72,6.71,7.25,10.14,9.72,6.45,6.99,7.85,10.06,8.76,28035000,4168000,1643000,-32052000,0.0,technology,-39308000,47,875535416,12818000,47,198869000,-186051000,-1.03,4559854,3675000,689484416,13.93,92,5.91,20,8.02,0.1,1.08,8.83,5,5.91,20,2.92,0.27,0.32,8.83,5,6.21,13,2.62,0.19,0.32,13.93,92,0,5.91,20,0,8.02,0.1,1.08,0.36,1.0,0.36,0.01,210.06,-0.8,-6.5,8.18,0.04,-0.21,-0.0,419.65,165.42,238.24,28.18,-0.11,-0.18,-0.08,-0.03,-0.07,-0.06,-0.11,-0.09,0.11,-0.04,-0.55,-1.72,-1.01,0.06,-0.06,-0.19,-0.08,0.04,-0.08,0.04,-0.93,-0.68,-17.11,-0.0,1.0,0.96,-0.08,-0.34,-0.31,0.04,-0.04,-0.15,-0.33,-0.24,-0.07,-0.34,-0.78,-0.29,0.04,0.51,-0.1,-0.08,-0.11,-0.18,-0.16,-0.03,-0.11,-0.09,-0.07,-0.06,0.02,0,1,0,0,1,140.44,1,0.05,-17.01
2021-12-17,ASTS,8.41,-25.99,-0.21,0,8.68,10.73,10.47,10.62,0.42,9.34,12.33,10.41,11.86,10.02,12.37,10.11,7.68,13.2,12914000,2450000,347000,4115000,0.0,technology,-21898000,78,922521024,6928000,78,360390000,-353462000,-1.03,4559854,3675000,569059024,12.95,91,8.13,120,4.82,0.06,0.54,11.86,29,8.18,1,3.68,0.06,0.41,9.49,9,8.18,1,1.31,0.18,0.13,13.53,164,73,7.08,199,79,6.45,0.21,0.61,0.57,0.75,0.76,0.01,376.54,-0.8,-8.17,10.26,0.03,-0.38,0.0,1639.94,232.27,251.03,-125.51,-0.21,-0.22,-0.03,-0.18,-0.01,0.01,-0.19,-0.17,0.05,-3.72,-3.92,-1.0,-1.15,-0.4,-0.79,-0.28,-0.05,0.0,-0.03,0.01,-0.05,2.92,1.86,-0.1,0.9,0.68,-0.32,-0.19,-0.29,-0.16,-0.32,-0.17,0.1,-0.36,-0.24,-0.1,1.36,0.18,-0.12,0.18,-0.23,-0.03,-0.21,-0.22,-0.2,-0.18,-0.19,-0.17,-0.01,0.01,0.02,1,0,0,0,1,547.35,1,0.04,-34.24
