date,symbol,price,evebitda,future_eps,to_buy
2024-01-26,AIV,7.66,-17.416196512476173,-0.09,0
2023-09-18,CTVA,51.87,23.649525748502995,-0.2404,0
2023-09-18,CCL,15.04,21.585185840707965,-0.12647,0
2021-08-05,CTVA,41.44,16.410560716284277,-0.31299,1
2021-08-05,HRB,25.11,11.43392399679305,-1.02714,0
2023-10-31,PNW,74.18,24.852827673660773,-0.13126,0
2023-10-31,NCLH,13.6,25.37331693021813,-0.11794,1
2023-10-31,LYV,80.02,28.278591045770344,-1.03193,1
2023-10-31,CCL,11.46,19.58450442477876,-0.12647,1
2023-10-31,VST,32.72,16.451824161504426,-0.039503,1
2023-10-24,PNW,74.35,24.878699719440384,-0.13126,0
2023-10-24,NCLH,13.95,25.572383229410097,-0.11794,1
2023-10-24,LYV,78.6,27.83545355282624,-1.03193,1
2023-10-24,CCL,11.45,19.57891592920354,-0.12647,1
2023-10-24,VST,32.7,16.446640429941002,-0.039503,1
2023-12-11,PNW,75.65,25.076544786993185,-0.13126,0
2023-12-11,NCLH,18.42,28.114744243223157,-0.11794,1
2023-12-11,VST,36.88,17.530040376106193,-0.039503,1
2022-02-07,FSLR,69.74,25.745506858552563,-0.42766,1
2022-02-07,HIMS,4.66,-29.65295495982173,-0.083144,1
2022-02-07,CCL,21.52,-29.631347517730497,-1.27562,0
2019-11-29,APA,22.28,20.22123134872418,-0.066786,1
2024-03-21,UAL,46.63,24.38123554376658,-0.54184,1
2024-03-12,UAL,42.17,23.60446206896552,-0.54184,1
2022-06-29,UBER,21.47,-8.496561258426967,-0.26835,1
2022-06-29,COIN,49.75,-15.353899178123696,-2.47179,1
2021-01-07,ALK,51.32,-20.53474424489796,-3.63086,1
2021-01-07,UAL,43.62,-21.975150684931503,-7.08324,1
2021-01-07,BA,212.71,-24.49161819785005,-1.04877,0
2021-01-07,AAL,15.38,-26.06051625,-4.30477,1
2021-01-07,CCJ,14.68,29.94461730360665,-0.09760312,1
2021-01-07,AIV,4.94,-19.34770924831348,-0.006455,0
2021-01-07,TAP,49.15,-17.09071670428894,-0.096826,1
2021-01-07,HRB,15.91,-28.013032939946665,-1.41,1
2023-11-21,PNW,71.8,24.490619013979725,-0.13126,0
2023-11-21,NCLH,14.33,25.78851235313936,-0.11794,1
2023-11-21,CCL,14.2,21.11575221238938,-0.12647,1
2023-11-21,VST,34.49,16.910584425516223,-0.039503,1
2023-01-13,COIN,49.98,-22.74968333051669,-1.44868,1
2023-01-13,UAL,51.65,20.980104497955477,-0.73409,0
2021-08-30,CTVA,43.76,17.363227756015668,-0.31299,0
2021-08-30,HRB,25.66,11.802627064097594,-1.02714,0
2019-12-20,APA,22.62,20.376858339003647,-0.066786,1
2023-01-04,COIN,37.7,-16.668540556498,-1.44868,1
2023-01-04,UAL,39.72,19.20551022262608,-0.73409,1
2023-01-04,GPS,11.78,29.79539393939394,-0.46246,1
2024-08-08,CTVA,51.55,20.401403183023877,-0.30302,1
2024-08-08,HRB,55.91,20.76503765557499,-1.2075,1
2022-12-29,COIN,34.78,-11.41991546926776,-2.52449,1
2022-12-29,LUV,33.38,25.55271297509829,-0.069839,1
2022-12-29,PNW,77.13,26.676050283274137,-0.18018,0
2022-12-29,ILMN,195.96,-9.35956216643278,0.005392,1
2022-12-29,GPS,11.4,29.373939393939395,-0.46246,1
2022-12-29,IONQ,3.54,-27.883023481608213,-0.124,1
2022-12-29,ZETA,8.13,-29.740705922204032,-0.38429,1
2022-12-29,AIV,7.19,15.494879596591558,0.007531,0
2022-12-29,HBI,6.26,29.5890701750197,-0.069173,1
2022-04-11,UBER,32.04,-12.085618005185824,-0.26835,0
2023-09-05,CTVA,50.96,23.26351137724551,-0.2404,0
2023-09-05,HRB,39.39,15.868641180825074,-1.1225,1
2023-09-05,CCL,15.37,21.769606194690265,-0.12647,0
2021-05-26,HRB,24.77,4.914343330523789,-1.02714,0
2021-05-26,OXY,25.29,20.102588842975205,0.00899,1
2022-10-06,COIN,73.91,-27.364741448091948,-2.52449,0
2022-10-06,LUV,32.54,24.898768020969857,-0.069839,1
2022-10-06,PNW,62.73,24.166361123374617,-0.18018,1
2022-10-06,ZETA,7.35,-27.01203993300589,-0.38429,1
2022-10-06,AIV,7.36,15.700887954771332,0.007531,1
2022-10-06,MU,54.62,16.893620689655172,-0.019823,1
2021-11-18,UAL,47.43,21.71927217863609,-2.09109,0
2023-07-17,CTVA,54.59,24.803326946107784,-0.2404,0
2023-07-17,HRB,32.96,13.644222476071548,-1.1225,1
2023-02-09,COIN,59.63,-27.528431520197493,-1.44868,1
2023-02-09,UAL,49.82,20.70789095865516,-0.73409,0
2023-07-19,CTVA,56.19,25.48203353293413,-0.2404,0
2023-07-19,HRB,34.04,14.0178417919555,-1.1225,1
2022-10-20,COIN,63.59,-23.159512618511943,-2.52449,1
2022-10-20,LUV,32.81,25.108964613368283,-0.069839,1
2022-10-20,PNW,62.65,24.152418405819617,-0.18018,1
2022-10-20,ZETA,7.47,-27.43183469767967,-0.38429,1
2022-10-20,AIV,7.28,15.603942845039672,0.007531,1
2022-10-20,MU,53.7,16.605459770114944,-0.019823,1
2023-11-22,PNW,73.65,24.77216776205113,-0.13126,0
2023-11-22,NCLH,14.39,25.82263800488778,-0.11794,1
2023-11-22,CCL,14.47,21.266641592920354,-0.12647,1
2023-11-22,VST,34.81,16.99352413421829,-0.039503,1
2021-09-10,LUV,47.9,29.76518918918919,-0.2732,1
2021-09-10,HRB,24.78,11.212702156410325,-1.02714,0
2021-09-10,CCL,22.75,-27.775609756097563,-1.44433,1
2022-11-23,COIN,45.57,-15.816661503295691,-2.52449,1
2022-11-23,LUV,38.63,29.639868938401047,-0.069839,0
2022-11-23,PNW,76.39,26.54708014589041,-0.18018,0
2022-11-23,AIV,8.09,16.585512081072714,0.007531,0
2022-11-23,MU,58.93,18.24359195402299,-0.019823,0
2023-02-23,COIN,62.36,-28.880346811164188,-1.44868,1
2023-02-23,UAL,50.58,20.820941390277145,-0.73409,0
2023-10-05,PNW,72.14,24.542363108219877,-0.13126,0
2023-10-05,NCLH,16.44,26.988597752905125,-0.11794,0
2023-10-05,LYV,85.23,29.90446874673957,-1.03193,0
2023-10-05,CCL,13.3,20.61278761061947,-0.12647,1
2023-10-05,VST,31.83,16.22114809660767,-0.039503,1
2024-07-12,CTVA,53.1,21.100392572944298,-0.30302,0
2024-07-12,HRB,53.47,19.906971952393675,-1.2075,1
2021-08-23,CTVA,41.95,16.6199832120873,-0.31299,0
2021-08-23,HRB,25.39,11.621627376511729,-1.02714,0
2022-08-17,COIN,85.44,-16.212678456015908,-2.37683,0
2022-08-17,CTVA,61.87,24.31565618101545,-0.22066,0
2022-08-17,HRB,48.4,25.22290352812261,-1.085,0
2023-12-06,PNW,76.21,25.16177035397696,-0.13126,0
2023-12-06,NCLH,18.18,27.978241637566377,-0.11794,1
2023-12-06,LYV,82.54,29.06500406098432,-1.03193,1
2023-12-06,VST,36.28,17.37452842182891,-0.039503,1
2022-02-17,FSLR,69.95,25.8383015082533,-0.42766,1
2022-02-17,HIMS,4.47,-28.35265666148964,-0.083144,1
2024-06-25,IONQ,6.59,-27.600559800494675,-0.22,1
2022-04-14,UBER,32.68,-12.302930807260156,-0.26835,0
2022-12-23,COIN,35.49,-11.709228693008244,-2.52449,1
2022-12-23,LUV,36.09,27.66246395806029,-0.069839,0
2022-12-23,PNW,77.93,26.81547745882411,-0.18018,0
2022-12-23,IONQ,3.3,-25.838659666381524,-0.124,1
2022-12-23,AIV,7.32,15.652415399905502,0.007531,0
2023-12-18,PNW,72.56,24.606282283457706,-0.13126,0
2023-12-18,NCLH,20.32,29.19538986320636,-0.11794,0
2023-12-18,VST,37.76,17.758124575221238,-0.039503,1
2022-05-17,UBER,24.2,-9.42353617977528,-0.26835,0
2022-05-17,COIN,70.0,-23.424783980175413,-2.47179,1
2024-01-29,BMY,49.87,29.392995733213564,-4.41226,0
2024-01-29,AIV,7.7,-17.46050140018669,-0.09,0
2022-06-10,UBER,23.72,-9.260551578219534,-0.26835,1
2022-06-10,COIN,58.71,-18.925016601648803,-2.47179,1
2022-06-17,UBER,21.81,-8.612008684528954,-0.26835,1
2022-06-17,COIN,51.22,-15.939785630420786,-2.47179,1
2021-10-18,RKLB,12.4,-25.71759920583025,-0.05,1
2021-10-18,UAL,47.17,21.66846469523235,-2.09109,1
2021-10-18,CCL,23.13,-28.00875880758808,-1.44433,0
2021-03-02,ALK,65.42,-24.1115113877551,-3.63086,1
2021-03-02,UAL,53.21,-23.865682440846825,-7.08324,1
2021-03-02,AAL,21.44,-28.114859487179487,-4.30477,1
2021-03-02,AIV,4.8,-19.08384108139579,-0.006455,1
2021-03-02,TAP,44.97,-16.23757524454477,-0.096826,1
2021-03-02,HRB,19.67,-27.5236846393147,-1.41,1
2021-03-02,VST,16.7,29.783860606779665,-2.83478,1
2024-07-31,CTVA,56.1,22.081161803713528,-0.30302,0
2024-07-31,HRB,57.94,21.478920187320103,-1.2075,1
2021-05-20,F,12.49,29.559863569920417,-0.035545,1
2021-05-20,HRB,24.49,4.869243050980335,-1.02714,0
2021-05-20,OXY,24.95,19.99321280991736,0.00899,1
2023-03-06,COIN,62.77,-29.083381708342337,-1.44868,1
2023-03-06,UAL,52.44,21.09761744661517,-0.73409,0
2024-01-19,BMY,50.11,29.502027846395688,-4.41226,0
2024-01-19,UAL,38.82,23.021011140583557,-0.54184,1
2024-01-19,AIV,7.69,-17.449425178259062,-0.09,0
2022-04-27,UBER,30.68,-11.623828300777872,-0.26835,0
2024-03-22,UAL,46.47,24.353369230769232,-0.54184,1
2024-03-22,AIV,7.99,-17.78171183608795,-0.09,0
2024-07-03,HRB,55.97,20.786137631882728,-1.2075,1
2022-01-05,CCL,21.17,-29.396152482269503,-1.27562,0
2022-05-11,UBER,22.57,-8.870067636992221,-0.26835,1
2022-05-11,COIN,53.72,-16.936191161538282,-2.47179,1
2022-08-02,UBER,29.25,-29.728007596596136,-0.17511,1
2022-08-02,COIN,67.23,-12.308471919945536,-2.37683,1
2022-08-02,CTVA,55.74,21.88429249448124,-0.22066,1
2022-08-02,HRB,39.3,21.04312527935176,-1.085,1
2023-03-07,COIN,61.89,-28.647599490008748,-1.44868,1
2023-03-07,UAL,54.01,21.331155838255334,-0.73409,0
2022-07-08,UBER,22.34,-23.444010432842685,-0.17511,1
2022-07-08,COIN,60.29,-10.820542575611194,-2.37683,1
2022-07-08,CTVA,52.73,20.690425496688743,-0.22066,1
2022-07-08,HRB,37.27,20.11071320847211,-1.085,1
2021-01-12,ALK,51.69,-20.628602673469388,-3.63086,1
2021-01-12,UAL,44.08,-22.06583312577833,-7.08324,1
2021-01-12,AAL,15.38,-26.06051625,-4.30477,1
