date,symbol,price,est_eps_growth,to_buy
2024-06-18,C,60.78,0.1880683699722342,0
2024-06-18,UBER,70.33,0.4180547360777016,0
2023-08-02,MPC,135.87,0.7008075246011776,1
2023-08-02,PSX,108.99,0.3372238224471787,1
2023-08-02,VLO,126.31,0.4817620289309048,1
2023-08-02,DHI,125.74,0.3953739731949848,0
2021-12-07,AIG,55.19,0.346776660962979,1
2021-12-07,XOM,62.27,0.2467184019821172,0
2021-12-07,COP,74.57,0.4375024670078814,0
2021-12-07,CVX,117.92,0.4189164646161948,1
2021-12-07,F,19.96,0.6656512370904228,0
2023-04-10,NUE,146.84,0.4311069062408718,0
2023-04-10,DAL,33.97,7.077099031216362,1
2023-04-10,F,12.72,0.3049331666506393,0
2022-07-20,UAL,41.68,0.2281102761215753,0
2022-10-19,CAT,184.41,0.2693864780559954,1
2022-10-19,AIG,52.75,1.5498265437605314,1
2022-10-19,IBM,122.51,1.0067322023679937,1
2022-10-19,F,12.13,1.2929910500534052,0
2022-10-19,KR,42.94,1.930689505182163,1
2022-10-19,GE,43.89,2.112439462187151,1
2022-10-19,MET,67.34,0.4120926606903796,1
2022-10-19,PRU,96.42,0.2663950184511058,1
2022-11-30,AIG,63.11,1.5498265437605314,0
2022-11-30,IBM,148.9,1.0067322023679937,0
2022-11-30,F,13.9,1.2929910500534052,0
2022-11-30,GE,53.5,2.112439462187151,0
2022-11-30,PRU,108.03,0.2663950184511058,0
2024-04-01,C,63.46,0.1880683699722342,0
2024-04-01,UBER,76.4,0.4180547360777016,0
2021-01-26,BMY,64.44,0.2750556242274413,0
2021-01-26,CI,215.76,0.1887173128638513,1
2021-01-26,C,60.91,0.9345415000037242,1
2021-01-26,XOM,45.87,75.74525884161967,1
2021-01-26,HPQ,24.62,0.2663999540590722,1
2021-01-26,MRK,76.52,0.1624405465176164,0
2021-01-26,DOW,55.74,0.707749264782719,0
2021-01-26,DELL,38.52,0.5415303609823944,1
2021-01-26,GS,281.76,0.3723780565567883,1
2022-05-20,NUE,119.97,0.2131197669376091,0
2022-05-20,COP,105.02,0.2175724957726572,0
2022-05-20,FDX,200.9,0.4763291857635455,1
2022-05-20,LYB,107.87,0.3397881005952551,0
2022-05-31,NUE,132.46,0.2131197669376091,0
2022-05-31,COP,112.36,0.2175724957726572,0
2022-05-31,LYB,114.25,0.3397881005952551,0
2024-04-09,C,61.66,0.1880683699722342,0
2024-04-09,UBER,75.14,0.4180547360777016,0
2022-01-20,GM,54.65,0.4226441389514977,0
2022-01-20,COP,85.63,0.4506679358744948,0
2022-06-13,NUE,112.27,0.2131197669376091,0
2022-06-13,LOW,181.26,0.4236726556823192,1
2022-06-13,COP,111.76,0.2175724957726572,0
2022-06-13,LYB,97.59,0.3397881005952551,0
2019-12-10,DELL,23.99,0.2645269098590661,1
2019-12-10,GE,54.82,0.4479317668475878,1
2021-03-30,XOM,56.69,0.6855005676885059,1
2021-03-30,HPQ,31.56,0.3441458327035281,0
2021-03-30,COP,53.43,1.0246061542991758,0
2021-03-30,ORCL,70.55,0.1783542216656005,1
2022-11-07,AIG,59.17,1.5498265437605314,1
2022-11-07,IBM,138.34,1.0067322023679937,1
2022-11-07,F,13.7,1.2929910500534052,0
2022-11-07,GE,51.94,2.112439462187151,0
2024-04-18,C,58.32,0.1880683699722342,1
2024-04-18,UBER,71.3,0.4180547360777016,0
2023-10-16,LEN,109.58,0.304753434077644,1
2023-10-16,NRG,41.54,0.9490404640600548,1
2023-10-16,PFE,33.27,0.982013577494426,0
2022-10-11,CAT,179.75,0.2693864780559954,1
2022-10-11,AIG,48.05,1.5498265437605314,1
2022-10-11,HCA,202.69,0.2344430900699148,0
2022-10-11,IBM,117.8,1.0067322023679937,1
2022-10-11,F,11.56,1.2929910500534052,1
2022-10-11,KR,45.68,1.930689505182163,0
2022-10-11,GE,39.83,2.112439462187151,1
2022-10-11,MET,63.32,0.4120926606903796,1
2022-10-11,PRU,90.84,0.2663950184511058,1
2024-08-13,NRG,81.86,0.2582423976003309,0
2023-03-31,CMCSA,37.91,0.1922049214176403,1
2023-03-31,NUE,154.47,0.4311069062408718,0
2023-03-31,DAL,34.92,7.077099031216362,0
2023-03-31,F,12.6,0.3049331666506393,0
2024-08-02,NRG,70.0,0.2582423976003309,0
2022-06-03,NUE,128.71,0.2131197669376091,0
2022-06-03,COP,118.12,0.2175724957726572,0
2022-06-03,LYB,107.4,0.3397881005952551,0
2022-08-16,TMUS,146.63,0.4029271896209428,0
2022-08-16,KR,49.08,1.930689505182163,0
2022-08-16,UAL,40.29,0.2281102761215753,0
2024-05-28,C,62.45,0.1880683699722342,0
2024-05-28,UBER,63.52,0.4180547360777016,0
2023-12-27,NRG,51.22,0.9490404640600548,1
2023-12-27,PFE,28.61,0.982013577494426,0
2023-12-01,NRG,48.37,0.9490404640600548,1
2023-12-01,PFE,28.91,0.982013577494426,0
2021-05-10,AIG,51.92,0.2463425753242985,0
2021-05-10,CVS,85.85,0.1969386218004425,0
2021-05-10,TGT,214.03,0.5889509418921183,1
2021-05-10,UPS,216.13,0.6176606271696633,0
2021-05-10,DELL,50.5,0.2681764599484815,0
2024-01-08,PGR,165.37,0.3233721710285335,1
2022-08-05,TMUS,144.56,0.4029271896209428,0
2022-08-05,UAL,37.82,0.2281102761215753,0
2022-02-01,GM,54.07,0.4226441389514977,0
2022-02-01,COP,91.54,0.4506679358744948,0
2022-02-01,BBY,100.45,0.3926091320646497,0
2023-08-22,MPC,142.95,0.7008075246011776,1
2023-08-22,VLO,130.89,0.4817620289309048,0
2023-08-22,DHI,117.13,0.3953739731949848,0
2022-12-27,AIG,63.33,1.5498265437605314,0
2022-12-27,IBM,142.42,1.0067322023679937,0
2022-12-27,F,11.2,1.2929910500534052,1
2022-12-27,GE,51.56,2.112439462187151,1
2021-01-21,BMY,64.18,0.2750556242274413,0
2021-01-21,CI,226.19,0.1887173128638513,0
2021-01-21,C,61.87,0.9345415000037242,0
2021-01-21,XOM,48.11,75.74525884161967,0
2021-01-21,CNC,62.75,2.193588162762022,0
2021-01-21,HPQ,25.36,0.2663999540590722,1
2021-01-21,MRK,77.41,0.1624405465176164,0
2021-01-21,DOW,57.56,0.707749264782719,0
2021-01-21,DELL,38.96,0.5415303609823944,1
2021-01-21,GS,289.37,0.3723780565567883,0
2022-03-29,GM,46.26,0.4226441389514977,0
2022-03-29,NUE,150.5,0.2131197669376091,0
2022-03-29,COP,100.69,0.4506679358744948,0
2021-12-13,AIG,53.84,0.346776660962979,1
2021-12-13,XOM,61.63,0.2467184019821172,1
2021-12-13,COP,71.02,0.4375024670078814,0
2021-12-13,CVX,115.88,0.4189164646161948,1
2021-12-13,F,20.43,0.6656512370904228,0
2023-02-06,C,50.86,0.4407489314091413,0
2023-02-06,CAH,77.03,0.3027600105143257,0
2023-05-23,CMCSA,40.38,0.1922049214176403,1
2023-05-23,NUE,136.92,0.4311069062408718,1
2023-05-23,DAL,35.91,7.077099031216362,1
2023-05-23,F,11.73,0.3049331666506393,1
2022-05-06,NUE,136.55,0.2131197669376091,0
2022-05-06,COP,107.69,0.2175724957726572,0
2022-05-06,FDX,210.21,0.4763291857635455,1
2022-05-06,LYB,110.22,0.3397881005952551,0
2024-07-03,NRG,79.42,0.2582423976003309,0
2021-10-04,AIG,55.82,0.346776660962979,0
2021-10-04,QCOM,126.68,0.3289036838591883,1
2021-10-04,CVX,104.72,0.4189164646161948,1
