date,symbol,price,est_eps_growth,to_buy,sma_10d,sma_50w,sma_100d,sma_200d,sma_50d,std_10d,sma_10d_1weeks_ago,sma_10d_1months_ago,sma_10d_2months_ago,sma_10d_3months_ago,sma_10d_4months_ago,sma_10d_5months_ago,sma_10d_6months_ago,sma_10d_7months_ago,sma_10d_11months_ago,month,RnD_expenses,revenues,GP,netIncome,dividendsPaid,sector,ebitda,income_lag_days,marketCap,total_debt,balance_lag_days,other_expenses,cashcasheq,netDebt,curr_est_eps,curr_est_rev,future_est_rev,EV,max_in_4M,max4M_lag,min_in_4M,min4M_lag,max_minus_min,var_price_to_minmax,maxPercen_4M,max_in_1M,max1M_lag,min_in_1M,min1M_lag,max_minus_min1M,var_price_to_minmax1M,maxPercen_1M,max_in_2W,max2W_lag,min_in_2W,min2W_lag,max_minus_min2W,var_price_to_minmax2W,maxPercen_2W,max_in_8M,max8M_lag,dist_max8M_4M,min_in_8M,min8M_lag,dist_min8M_4M,max_minus_min8M,var_price_minmax8M,maxPercen_8M,ebitdaMargin,Spread1Mby8M,Spread4Mby8M,Spread1Mby4M,debtToPrice,markRevRatio,eps_growth,pe,peg,PS_to_PEG,netDebtToPrice,dividend_payout_ratio,EVEbitdaRatio,EVGP,EVRevenues,fwdPriceTosale,fwdPriceTosale_diff,var_sma50D,var_sma100D,var_sma10D,var_sma10D_50D,var_sma50D_100D,var_sma50D_200D,var_sma10D_100D,var_sma10D_200D,relative_std,deriv_1w,deriv_1m,deriv_2m,deriv_3m,deriv_4m,deriv_5m,deriv_6m,deriv_min4M,deriv_max8M,deriv_min8M,deriv_1w1m_growth,deriv_1m2m_growth,deriv_3m4m_growth,1W_return,price_to_SMA10d_1W,price_to_SMA10d_5M,1M_return,2M_return,3M_return,4M_return,5M_return,6M_return,7M_return,1y_return,1M_1W_growth,2M_1W_growth,1M1W_2M1W_growth,2M_1M_growth,3M_2M_growth,4M_3M_growth,1Y_6M_growth,price_to_sma_10d_ratio,price_to_sma_50d_ratio,price_to_sma_100d_ratio,price_to_sma_200d_ratio,sma_10d_to_sma_50d_ratio,sma_10d_to_sma_100d_ratio,sma_10d_to_sma_200d_ratio,sma_50d_to_sma_100d_ratio,sma_50d_to_sma_200d_ratio,sma_100d_to_sma_200d_ratio,golden_cross,death_cross,smas_above_count,price_above_all_sma,price_below_all_sma,combined_valuation_score,market_cap_quintile,return_to_pe,sma10_yoy_growth
2021-06-14,DELL,52.05,0.27,0,52.18,39.21,45.92,40.39,50.06,0.52,51.13,49.64,46.24,43.27,39.84,37.67,36.17,32.3,27.13,6,619000000,22590000000,5264000000,887000000,0,technology,2602000000,45,39714150000,48914000000,45,0,15174000000,33740000000,1.6,23404499004,25567975955,73454150000,53.0,4,39.02,111,13.98,0.93,0.02,53.0,4,48.25,17,4.75,0.8,0.02,53.0,4,50.29,11,2.71,0.65,0.02,53.0,4,0,29.83,227,116,23.17,0.96,0.02,0.12,0.21,0.6,0.34,1.23,1.76,0.27,32.46,121.05,68.86,0.85,0.0,28.23,13.95,3.25,1.55,-0.2,0.04,0.13,-0.0,0.04,0.09,0.24,0.14,0.29,0.01,3.68,2.41,2.9,2.93,3.05,2.88,2.65,0.12,-0.24,0.1,0.53,-0.17,-0.04,0.02,1.02,1.38,0.05,0.13,0.2,0.31,0.38,0.44,0.61,0.92,0.03,0.11,-0.72,0.07,0.07,0.09,0.33,-0.0,0.04,0.13,0.29,0.04,0.14,0.29,0.09,0.24,0.14,1,0,3,0,0,48.93,2,0.01,92.33
2021-06-17,AIG,48.77,0.25,0,51.86,39.3,47.15,40.85,49.97,1.27,52.91,50.53,46.83,47.47,41.73,40.12,39.17,36.16,30.48,6,0,14418000000,12330000000,3869000000,-283000000,financial services,6493000000,78,42085141504,35648000000,78,-3318000000,2796000000,32852000000,0.97,10676409308,10888495128,74937141504,54.08,15,41.49,119,12.59,0.58,0.11,54.08,15,48.71,0,5.37,0.01,0.11,53.53,10,48.71,0,4.82,0.01,0.1,54.08,15,0,29.71,231,112,24.37,0.78,0.11,0.45,0.22,0.52,0.43,0.85,2.92,0.25,50.53,205.12,70.27,0.78,-0.07,11.54,6.08,5.2,3.87,0.95,-0.02,0.03,-0.06,0.04,0.06,0.22,0.1,0.27,0.03,-16.56,-1.76,0.97,0.43,1.76,1.73,1.6,0.06,-0.35,0.08,8.41,-2.81,-0.75,-0.08,0.92,1.22,-0.03,0.04,0.03,0.17,0.22,0.25,0.35,0.6,0.05,0.13,-0.64,0.08,-0.01,0.14,0.29,-0.06,-0.02,0.03,0.19,0.04,0.1,0.27,0.06,0.22,0.15,1,0,2,0,0,68.32,2,0.0,70.14
2021-06-17,PFE,39.48,0.25,1,39.56,36.5,37.09,36.67,39.06,0.52,39.11,39.78,36.83,34.9,34.79,37.03,40.26,35.84,32.95,6,2014000000,14582000000,10371000000,4877000000,-2172000000,healthcare,6295000000,74,221009039999,38188000000,74,658000000,1768000000,36420000000,0.78,13652108636,18706448583,257429039999,41.09,43,33.36,111,7.73,0.79,0.04,40.72,7,38.48,16,2.24,0.45,0.03,40.72,7,38.48,9,2.24,0.45,0.03,43.08,190,147,32.8,231,120,10.28,0.65,0.09,0.43,0.22,0.75,0.29,0.17,15.16,0.25,50.88,202.86,13.38,0.16,-0.45,40.89,24.82,17.65,11.81,-3.34,0.01,0.06,-0.0,0.01,0.05,0.07,0.07,0.08,0.01,1.48,-0.3,1.32,1.53,1.17,0.49,-0.13,0.06,-0.02,0.03,-5.93,-1.23,0.3,0.01,1.01,1.07,-0.01,0.07,0.13,0.13,0.07,-0.02,0.1,0.2,-0.02,0.06,-1.27,0.08,0.06,0.0,0.22,-0.0,0.01,0.06,0.08,0.01,0.07,0.08,0.05,0.07,0.01,1,0,3,0,0,79.86,5,0.0,20.06
2021-08-16,XOM,55.94,0.54,0,57.39,50.0,59.18,52.78,60.11,0.73,57.74,60.42,62.39,60.62,56.35,60.15,49.76,46.14,37.82,8,0,66306000000,20506000000,4690000000,-3721000000,energy,11513000000,47,239199440000,60612000000,47,-7746000000,3465000000,57147000000,1.01,64638158857,71132635000,296346440000,64.93,52,54.3,117,10.63,0.15,0.16,59.33,18,54.6,28,4.73,0.28,0.06,58.5,5,55.27,0,3.23,0.21,0.05,64.93,52,0,40.53,238,121,24.4,0.63,0.16,0.17,0.19,0.44,0.44,0.25,3.61,0.54,55.41,102.0,28.27,0.24,-0.79,25.74,14.45,4.47,3.36,-0.24,-0.07,-0.05,-0.03,-0.05,0.02,0.14,-0.03,0.09,0.01,-7.2,-4.48,-3.23,-1.56,-0.1,-0.84,1.03,0.01,-0.17,0.06,0.61,0.39,14.22,-0.03,0.97,0.93,-0.07,-0.1,-0.08,-0.01,-0.07,0.12,0.21,0.48,-0.04,-0.07,-0.4,-0.03,0.03,0.08,0.32,-0.03,-0.07,-0.05,0.06,-0.05,-0.03,0.09,0.02,0.14,0.12,1,0,1,0,0,49.4,5,-0.0,51.75
2021-08-16,NUE,124.28,0.5,0,114.17,72.6,95.42,75.93,101.11,9.48,103.25,95.12,105.83,96.52,79.63,66.13,53.9,55.96,46.5,8,0,8789164000,2473503000,1500192000,-122638000,basic materials,2266809000,44,36104582800,5388209000,44,0,2722656000,2665553000,4.79,8256907924,10146115924,38770135800,128.81,3,75.6,115,53.21,0.91,0.04,128.81,3,87.71,28,41.1,0.89,0.04,128.81,3,101.37,11,27.44,0.83,0.04,128.81,3,0,47.94,199,84,80.87,0.94,0.04,0.26,0.51,0.66,0.77,0.15,4.11,0.5,25.96,52.31,12.73,0.07,-0.08,17.1,15.67,4.41,3.56,-0.55,0.23,0.3,0.09,0.13,0.06,0.33,0.2,0.5,0.08,84.12,29.16,9.23,9.25,11.16,11.63,11.73,0.42,-1.51,0.38,1.88,2.16,-0.17,0.2,1.2,1.88,0.31,0.17,0.29,0.56,0.88,1.31,1.22,1.67,0.09,-0.02,-4.51,-0.1,0.1,0.21,0.16,0.09,0.23,0.3,0.64,0.13,0.2,0.5,0.06,0.33,0.26,1,0,4,1,0,27.76,2,0.01,145.53
2021-08-16,COP,54.81,0.38,0,56.1,47.73,56.1,50.22,58.28,0.79,56.1,59.09,60.2,55.27,51.7,57.75,45.6,44.71,34.52,8,0,9556000000,3312000000,2091000000,-583000000,energy,5231000000,47,73022595660,20010000000,47,420000000,6608000000,13402000000,1.1,9905632056,10724238544,86424595660,63.57,46,47.85,117,15.72,0.44,0.16,57.84,18,52.82,28,5.02,0.4,0.06,57.58,4,54.51,13,3.07,0.1,0.05,63.57,46,0,38.77,230,113,24.8,0.65,0.16,0.55,0.2,0.63,0.32,0.27,7.64,0.38,49.82,130.51,17.08,0.18,-0.28,16.52,26.09,9.04,6.81,-0.83,-0.06,-0.02,-0.02,-0.04,0.04,0.16,0.0,0.12,0.01,-5.16,-4.28,-2.7,-0.15,0.78,-0.59,1.54,0.06,-0.19,0.07,0.21,0.59,-1.2,-0.02,0.98,0.95,-0.07,-0.09,-0.01,0.06,-0.05,0.2,0.23,0.59,-0.05,-0.07,-0.26,-0.02,0.09,0.07,0.32,-0.02,-0.06,-0.02,0.09,-0.04,0.0,0.12,0.04,0.16,0.12,1,0,1,0,0,55.74,4,-0.0,62.51
2023-10-04,LEN,108.97,0.3,1,111.81,106.42,118.88,110.2,118.65,1.83,114.67,116.91,126.29,123.38,109.02,111.99,103.28,96.62,79.43,10,0,8729603000,2186180000,1108996000,-107082000,consumer cyclical,1526378000,34,30450358860,3461111000,34,23725000,3921865000,-460754000,3.52,8490449266,10227576984,29989604860,133.24,82,107.39,1,25.85,0.06,0.22,121.52,23,107.39,1,14.13,0.11,0.12,116.58,5,107.39,1,9.19,0.17,0.07,133.24,82,0,94.11,216,215,39.13,0.38,0.22,0.17,0.36,0.66,0.55,0.11,3.49,0.3,30.96,101.61,29.13,-0.02,-0.1,19.65,13.72,3.44,2.98,-0.51,-0.08,-0.08,-0.03,-0.06,-0.0,0.08,-0.06,0.01,0.02,-22.8,-7.94,-8.66,-4.8,-0.01,-0.6,0.95,1.58,-0.3,0.07,1.87,-0.08,383.27,-0.05,0.95,0.97,-0.07,-0.14,-0.12,-0.0,-0.03,0.06,0.13,0.37,-0.02,-0.09,-0.79,-0.07,0.02,0.13,0.3,-0.03,-0.08,-0.08,-0.01,-0.06,-0.06,0.01,-0.0,0.08,0.08,1,0,0,0,1,41.48,1,-0.0,40.77
2023-10-04,NRG,37.46,0.95,1,38.23,35.84,36.6,34.9,37.86,0.51,38.87,37.34,37.81,35.83,33.63,33.73,32.77,33.38,43.79,10,0,7946000000,1525000000,343000000,-121000000,utilities,921000000,4,7796585387,11900000000,4,14000000,401000000,11499000000,2.55,10950684825,8100156584,19295585387,40.12,15,32.88,119,7.24,0.63,0.07,40.12,15,36.61,0,3.51,0.24,0.07,39.21,9,36.61,0,2.6,0.33,0.05,40.12,15,0,30.25,202,83,9.87,0.73,0.07,0.12,0.36,0.73,0.48,1.53,0.98,0.95,14.69,15.48,15.78,1.47,-0.35,20.95,12.65,2.43,0.96,-0.02,-0.01,0.02,-0.02,0.01,0.03,0.08,0.04,0.1,0.01,-5.64,0.12,-0.18,0.54,0.96,0.75,0.78,0.04,-0.18,0.04,-48.0,-1.69,-0.43,-0.04,0.96,1.11,0.0,-0.01,0.05,0.11,0.11,0.14,0.12,-0.14,0.04,0.03,0.46,-0.01,0.06,0.07,-0.25,-0.02,-0.01,0.02,0.07,0.01,0.04,0.1,0.03,0.08,0.05,1,0,2,0,0,15.94,1,0.0,-12.7
2023-10-04,PFE,33.31,0.98,0,32.94,41.12,36.25,39.67,34.95,0.62,33.25,36.25,36.11,37.43,38.06,39.07,40.45,41.56,46.58,10,2682000000,13232000000,2629000000,-2394000000,-2314000000,healthcare,-1097000000,3,188101570000,63596000000,3,574000000,3148000000,60448000000,-0.08,13339865032,14369218000,248549570000,40.37,113,31.77,6,8.6,0.18,0.21,36.29,29,31.77,6,4.52,0.34,0.09,34.11,1,31.77,6,2.34,0.66,0.02,44.33,237,124,31.77,6,0,12.56,0.12,0.33,-0.08,0.36,0.68,0.53,0.34,14.22,0.98,-417.22,-424.86,-29.89,0.32,0.97,-226.57,94.54,18.78,13.09,-1.13,-0.05,-0.08,0.01,-0.06,-0.04,-0.12,-0.09,-0.17,0.02,0.24,-2.94,-1.4,-1.37,-1.19,-1.15,-1.19,0.26,-0.05,0.26,-1.08,1.1,0.16,0.0,1.0,0.85,-0.08,-0.08,-0.11,-0.12,-0.15,-0.18,-0.2,-0.28,-0.08,-0.08,0.04,0.0,-0.04,-0.02,-0.13,0.01,-0.05,-0.08,-0.16,-0.06,-0.09,-0.17,-0.04,-0.12,-0.09,0,1,1,0,0,-243.53,5,0.0,-29.28
2024-07-11,NRG,79.63,0.26,0,78.55,56.84,72.56,59.86,79.83,0.78,79.58,80.36,76.46,71.63,58.17,53.54,51.49,47.69,37.35,7,0,6649000000,1217000000,738000000,-86000000,utilities,1506000000,11,16642670000,10922000000,11,3000000,392000000,10530000000,1.55,8319825695,9380850423,27172670000,87.58,44,60.23,121,27.35,0.71,0.1,83.74,16,76.9,6,6.84,0.4,0.05,80.88,2,76.9,6,3.98,0.69,0.02,87.58,44,0,44.9,233,112,42.68,0.81,0.1,0.23,0.16,0.64,0.25,0.66,2.5,0.26,51.48,199.34,79.64,0.63,-0.12,18.04,22.33,4.09,1.77,-0.73,-0.0,0.1,0.01,-0.02,0.1,0.33,0.08,0.31,0.01,0.2,-0.73,1.59,2.67,5.36,5.22,4.69,0.16,-0.18,0.15,-1.27,-1.46,-0.5,0.0,1.0,1.49,-0.01,0.04,0.11,0.37,0.49,0.55,0.67,1.13,-0.01,0.04,-1.24,0.05,0.07,0.23,0.38,0.01,-0.0,0.1,0.33,-0.02,0.08,0.31,0.1,0.33,0.21,1,0,3,0,0,72.8,1,0.0,110.31
