iter	Passed	Remaining
574	2592	1916
575	2597	1911
576	2602	1907
577	2607	1903
578	2612	1899
579	2617	1895
580	2622	1891
581	2627	1887
582	2632	1882
583	2637	1878
584	2642	1874
585	2646	1870
586	2651	1865
587	2656	1861
588	2661	1857
589	2666	1852
590	2671	1848
591	2675	1844
592	2680	1839
593	2685	1835
594	2689	1830
595	2694	1826
596	2698	1821
597	2703	1817
598	2707	1812
599	2711	1807
600	2716	1803
601	2721	1798
602	2725	1794
603	2730	1789
604	2734	1785
605	2738	1780
606	2742	1775
607	2746	1770
608	2751	1766
609	2755	1761
610	2760	1757
611	2764	1752
612	2769	1748
613	2773	1743
614	2777	1738
615	2781	1734
616	2786	1729
617	2790	1724
618	2794	1720
619	2799	1715
620	2803	1710
621	2807	1706
622	2811	1701
623	2817	1697
624	2821	1693
625	2826	1688
626	2831	1684
627	2834	1679
628	2838	1674
629	2842	1669
630	2846	1664
631	2851	1660
632	2855	1655
633	2860	1651
634	2864	1646
635	2869	1642
636	2873	1637
637	2878	1632
638	2883	1628
639	2887	1624
640	2892	1620
641	2896	1615
642	2901	1610
643	2905	1606
644	2910	1601
645	2915	1597
646	2919	1593
647	2924	1588
648	2928	1583
649	2933	1579
650	2937	1574
651	2942	1570
652	2946	1565
653	2950	1561
654	2955	1556
655	2959	1551
656	2964	1547
657	2968	1542
658	2972	1538
659	2977	1533
660	2981	1529
661	2986	1524
662	2990	1520
663	2995	1515
664	3000	1511
665	3004	1506
666	3008	1502
667	3013	1497
668	3017	1493
669	3022	1488
670	3026	1484
671	3031	1479
672	3035	1474
673	3039	1470
674	3043	1465
675	3048	1460
676	3052	1456
677	3056	1451
678	3061	1447
679	3065	1442
680	3069	1438
681	3074	1433
682	3079	1429
683	3084	1424
684	3088	1420
685	3093	1415
686	3098	1411
687	3103	1407
688	3108	1403
689	3112	1398
690	3117	1393
691	3121	1389
692	3126	1384
693	3130	1380
694	3135	1375
695	3139	1371
696	3144	1367
697	3149	1362
698	3153	1357
699	3157	1353
700	3162	1348
701	3167	1344
702	3172	1340
703	3176	1335
704	3180	1331
705	3185	1326
706	3189	1321
707	3194	1317
708	3198	1312
709	3202	1308
710	3208	1303
711	3212	1299
712	3217	1294
713	3221	1290
714	3226	1286
715	3230	1281
716	3235	1277
717	3240	1272
718	3245	1268
719	3249	1263
720	3253	1258
721	3257	1254
722	3262	1249
723	3266	1245
724	3270	1240
725	3275	1236
726	3279	1231
727	3283	1226
728	3288	1222
729	3292	1217
730	3297	1213
731	3301	1208
732	3306	1204
733	3311	1199
734	3315	1195
735	3319	1190
736	3324	1186
737	3328	1181
738	3333	1177
739	3338	1172
740	3342	1168
741	3346	1163
742	3351	1159
743	3355	1154
744	3360	1150
745	3364	1145
746	3368	1141
747	3373	1136
748	3377	1132
749	3382	1127
750	3387	1123
751	3391	1118
752	3396	1114
753	3400	1109
754	3405	1105
755	3409	1100
756	3413	1095
757	3418	1091
758	3422	1086
759	3426	1082
760	3431	1077
761	3436	1073
762	3440	1068
763	3445	1064
764	3449	1059
765	3454	1055
766	3458	1050
767	3462	1046
768	3466	1041
769	3470	1036
770	3474	1031
771	3478	1027
772	3482	1022
773	3486	1018
774	3490	1013
775	3494	1008
776	3498	1003
777	3501	999
778	3505	994
779	3508	989
780	3512	984
781	3515	980
782	3519	975
783	3523	970
784	3527	966
785	3531	961
786	3535	956
787	3539	952
788	3543	947
789	3547	942
790	3551	938
791	3555	933
792	3558	928
793	3562	924
794	3566	919
795	3570	915
796	3573	910
797	3577	905
798	3581	901
799	3585	896
800	3589	891
801	3593	887
802	3596	882
803	3601	877
804	3605	873
805	3609	868
806	3613	864
807	3616	859
808	3620	854
809	3624	850
810	3628	845
811	3632	841
812	3636	836
813	3639	831
814	3643	827
815	3647	822
816	3651	817
817	3654	813
818	3657	808
819	3661	803
820	3665	799
821	3669	794
822	3673	789
823	3676	785
824	3680	780
825	3684	776
826	3687	771
827	3691	766
828	3695	762
829	3699	757
830	3703	753
831	3706	748
832	3710	743
833	3714	739
834	3718	734
835	3722	730
836	3725	725
837	3729	721
838	3733	716
839	3737	711
840	3740	707
841	3745	702
842	3748	698
843	3752	693
844	3756	689
845	3760	684
846	3764	679
847	3767	675
848	3770	670
849	3774	666
850	3778	661
851	3782	657
852	3786	652
853	3789	647
854	3793	643
855	3797	638
856	3801	634
857	3805	629
858	3808	625
859	3812	620
860	3816	616
861	3820	611
862	3823	607
863	3827	602
864	3831	598
865	3835	593
866	3839	588
867	3843	584
868	3846	579
869	3850	575
870	3853	570
871	3857	566
872	3861	561
873	3865	557
874	3869	552
875	3873	548
876	3877	543
877	3881	539
878	3885	534
879	3889	530
880	3894	525
881	3898	521
882	3902	517
883	3906	512
884	3910	508
885	3915	503
886	3919	499
887	3923	494
888	3927	490
889	3931	485
890	3935	481
891	3940	477
892	3944	472
893	3948	468
894	3953	463
895	3957	459
896	3961	454
897	3966	450
898	3970	446
899	3975	441
900	3979	437
901	3983	432
902	3988	428
903	3992	423
904	3996	419
905	4000	415
906	4005	410
907	4009	406
908	4013	401
909	4017	397
910	4022	392
911	4026	388
912	4030	384
913	4034	379
914	4039	375
915	4043	370
916	4047	366
917	4051	361
918	4055	357
919	4060	353
920	4064	348
921	4069	344
922	4073	339
923	4077	335
924	4081	330
925	4085	326
926	4089	322
927	4093	317
928	4097	313
929	4101	308
930	4105	304
931	4109	299
932	4114	295
933	4118	291
934	4122	286
935	4125	282
936	4130	277
937	4134	273
938	4138	268
939	4142	264
940	4146	260
941	4150	255
942	4154	251
943	4158	246
944	4163	242
945	4167	237
946	4172	233
947	4176	229
948	4180	224
949	4185	220
950	4189	215
951	4193	211
952	4197	207
953	4201	202
954	4205	198
955	4209	193
956	4213	189
957	4217	184
958	4221	180
959	4225	176
960	4230	171
961	4234	167
962	4239	162
963	4243	158
964	4248	154
965	4253	149
966	4257	145
967	4262	140
968	4266	136
969	4269	132
970	4274	127
971	4280	123
972	4284	118
973	4288	114
974	4294	110
975	4298	105
976	4302	101
977	4306	96
978	4311	92
979	4315	88
980	4319	83
981	4323	79
982	4328	74
983	4332	70
984	4336	66
985	4341	61
986	4346	57
987	4351	52
988	4356	48
989	4362	44
990	4368	39
991	4373	35
992	4378	30
993	4383	26
994	4389	22
995	4394	17
996	4399	13
997	4403	8
998	4409	4
999	4414	0
